sim,incl_00,incl_10,incl_20,incl_30,incl_40,incl_50,incl_60,incl_70,incl_80,-vac1-ratio-00,-vac1-ratio-10,-vac1-ratio-20,-vac1-ratio-30,-vac1-ratio-40,-vac1-ratio-50,-vac1-ratio-60,-vac1-ratio-70,-vac1-ratio-80
136,0,1,0,0,0,1,0,0,0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0
137,0,1,0,0,0,1,0,0,1,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333
138,0,1,0,0,0,1,0,1,0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0
139,0,1,0,0,0,1,0,1,1,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.25
140,0,1,0,0,0,1,1,0,0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0
141,0,1,0,0,0,1,1,0,1,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.25
142,0,1,0,0,0,1,1,1,0,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.0
143,0,1,0,0,0,1,1,1,1,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.2,0.2
144,0,1,0,0,1,0,0,0,0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
145,0,1,0,0,1,0,0,0,1,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
146,0,1,0,0,1,0,0,1,0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0
147,0,1,0,0,1,0,0,1,1,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.25
148,0,1,0,0,1,0,1,0,0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0
149,0,1,0,0,1,0,1,0,1,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.25
150,0,1,0,0,1,0,1,1,0,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.25,0.0
151,0,1,0,0,1,0,1,1,1,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.2
152,0,1,0,0,1,1,0,0,0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
153,0,1,0,0,1,1,0,0,1,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.25
154,0,1,0,0,1,1,0,1,0,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.25,0.0
155,0,1,0,0,1,1,0,1,1,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,0.2
156,0,1,0,0,1,1,1,0,0,0.0,0.25,0.0,0.0,0.25,0.25,0.25,0.0,0.0
157,0,1,0,0,1,1,1,0,1,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.0,0.2
158,0,1,0,0,1,1,1,1,0,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.2,0.0
159,0,1,0,0,1,1,1,1,1,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
160,0,1,0,1,0,0,0,0,0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
